,Abstract Noun,Common Noun,Material Noun,Verbal Noun,Noun,Proper Noun,Pronoun,Adverb,Verbable,neg_v_verb,Verb-Trans.,Verb-Intran.,Adjective,Adjective Adj.,Proper Adj.,Verbal Adj.,Conjuction,Interjection,Adposition,Others,derivational,abs,erg,gen,acc,dat,loc,inst,number,modal,adj_comp,after_comp,reason_comp,when_comp,present-2i,present-3a,present-2n,present-2f,present-1,past-3a,past-2f,past-2a,past-1,future-2f,future-2n,future-3a,future-1,ardha,infix,dash,manner,mod_attr,quantity,compare,emph,without,t_loc,negative,numerical,other,ws,we
Abstract Noun,0.03994082840236687,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.008136094674556213,0.0022189349112426036,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.04807692307692308,0.0007396449704142012,0.059911242603550297,0.3210059171597633,0.03106508875739645,0.02440828402366864,0.22559171597633135,0.014053254437869823,0.11538461538461539,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0014792899408284023,0.0007396449704142012,0.011094674556213017,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.004437869822485207,0.058431952662721894,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012,0.0007396449704142012
Common Noun,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.008676789587852495,0.004338394793926247,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.14533622559652928,0.30585683297180044,0.06290672451193059,0.004338394793926247,0.039045553145336226,0.006507592190889371,0.29067245119305857,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.013015184381778741,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.008676789587852495,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237,0.0021691973969631237
Material Noun,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.010344827586206896,0.010344827586206896,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.02413793103448276,0.32068965517241377,0.034482758620689655,0.027586206896551724,0.18275862068965518,0.020689655172413793,0.13793103448275862,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.017241379310344827,0.0034482758620689655,0.006896551724137931,0.0034482758620689655,0.006896551724137931,0.03103448275862069,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655
Verbal Noun,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.1875,0.03125,0.020833333333333332,0.07291666666666667,0.020833333333333332,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666,0.010416666666666666
Noun,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516
Proper Noun,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.12334801762114538,0.33480176211453744,0.039647577092511016,0.03524229074889868,0.18061674008810572,0.004405286343612335,0.022026431718061675,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.00881057268722467,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.00881057268722467,0.013215859030837005,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335,0.004405286343612335
Pronoun,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.002205071664829107,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.5270121278941565,0.020948180815876516,0.23042998897464168,0.07166482910694598,0.0011025358324145535,0.023153252480705624,0.002205071664829107,0.04299889746416759,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.014332965821389196,0.007717750826901874,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535,0.0011025358324145535
Adverb,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.39,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Verbable,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.515695067264574,0.03587443946188341,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.08968609865470852,0.004484304932735426,0.004484304932735426,0.008968609865470852,0.04035874439461883,0.004484304932735426,0.004484304932735426,0.008968609865470852,0.008968609865470852,0.004484304932735426,0.04484304932735426,0.008968609865470852,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426,0.004484304932735426
neg_v_verb,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.010752688172043012,0.043010752688172046,0.20430107526881722,0.010752688172043012,0.010752688172043012,0.053763440860215055,0.010752688172043012,0.010752688172043012,0.03225806451612903,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012
